NAICS6,SIC6
331421,335100
331422,335720
331423,334120
331423,339930
331491,335600
331491,335730
331492,331320
331492,334130
331492,339940
331511,332100
331511,332200
331512,332400
331513,332500
331521,336300
331522,336400
331524,336500
331525,336600
331528,336900
332111,346200
332112,346300
332114,344910
332115,346600
332116,346910
332117,349910
332211,342100
332211,391410
332212,342300
332212,352310
332212,352410
332212,354510
332212,369905
332212,379910
332212,399960
332213,342500
332214,346920
332311,344800
332312,344100
332312,344920
332313,344310
332321,249940
332321,344200
332321,344930
332322,344410
332323,344600
332323,344940
332323,352320
332410,344320
332420,344330
332431,341100
332439,341200
332439,342910
332439,344420
332439,349920
332439,353710
332510,342920
332510,349930
332611,349300
332612,349510
332618,331520
332618,339950
332618,349600
332710,359910
332721,345100
332722,345200
332811,339800
332812,347910
332813,347100
332911,349100
332912,349200
332912,372810
332913,343210
332919,342930
332919,349410
332919,349940
332991,356200
332992,348200
332993,348300
332994,348400
332995,348900
332996,335320
332996,349800
332997,354300
332998,343100
332999,329120
332999,343220
332999,349420
332999,349720
332999,349950
332999,353720
332999,359920
332999,399965
333111,352330
333112,352420
333120,353110
333131,353200
333132,353300
333210,355300
333220,355910
333291,355400
333292,355200
333293,355500
333293,369915
333294,355600
333295,355920
333298,355930
333298,363910
333311,358100
333312,358200
333313,357810
333313,357910
333314,369920
333314,382700
333315,369925
333315,386120
333319,355940
333319,358900
333319,359930
333319,369930
333411,356410
333412,356420
333414,343300
333414,363410
333415,344340
333415,358510
333511,354410
333512,354100
333512,369935
333513,354200
333514,354420
333515,354520
333516,354700
333518,354900
333611,351100
333612,356600
333613,356800
333618,351910
333618,369940
333911,356100
333911,374310
333912,356300
333913,358600
333921,353400
333922,352340
333922,353500
333923,353120
333923,353600
333924,353730
333991,354600
333992,354810
333992,369945
333993,356500
333994,356700
333995,359300
333995,372820
333996,359400
333996,372830
333997,359600
333999,356900
333999,359940
334111,357100
334112,357200
334113,357500
334119,357700
334119,357820
334119,369950
334210,366110
334220,366300
334220,367910
334290,366900
334310,365100
334411,367100
334412,367200
334413,367400
334414,367500
334415,367600
334416,366120
334416,367700
334416,382510
334417,367800
334418,366130
334418,367920
334419,367930
334510,369955
334510,384230
334510,384500
334511,369960
334511,381200
334512,382200
334513,382300
334514,382400
334515,382520
334516,369965
334516,382600
334517,384400
334518,349520
334518,357920
334518,387300
334519,369970
334519,382910
334611,737991
334612,365200
334612,781980
334613,369500
335110,364100
335121,308930
335121,364500
335121,399970
